Name,Description,SF,LF,CY,EA,Drop Count
concrete footer,,0.00,238.45,35.33,1,0
concrete slab,,1349.87,149.12,99.99,1,0
drywall,,1909.38,238.67,0.00,1,0
outlets,,0.00,0.00,0.00,7,0
roof,,3497.68,238.55,0.00,1,0
wall,,0.00,184.37,0.00,4,0

STACK Construction Technologies is not responsible for ensuring the accuracy and completeness of this report. Results are not guaranteed.
