Name,Description,Qty,UOM
drywall,,1909.38,Sq Ft
outlets,,7.00,Ea
concrete footer,,35.33,Cu Yd
concrete slab,,99.99,Cu Yd
roof,,3497.68,Sq Ft
wall,,184.37,Ln Ft

STACK Construction Technologies is not responsible for ensuring the accuracy and completeness of this report. Results are not guaranteed.
