buy,histogram,sell,time,volume
0,53.70167552291449,0,1440,0.5293
0,53.14425389130147,0,1445,7.4106
0,52.501726184740875,0,1500,0.5293
0,52.071904578710885,0,1505,0.5293
0,51.97011021750281,0,1515,6.3519
0,50.48678233260999,0,1525,1.2175
0,48.6112184912306,0,1530,0.5293
0,46.49098538820347,0,1540,0.5293
0,44.90427396849341,0,1545,1.1909999999999998
0,44.04311538662368,0,1550,4.3934
0,43.29440907793878,0,1555,7.4106
0,42.33375705484221,0,1600,1.5245
0,28.714157935642348,0,930,20.3262
0,13.369944853341392,0,935,4.4146
0,2.77005070251853,0,940,1.588
0,-4.813531182567316,0,955,5.0286
0,-10.747305215451881,0,1000,1.0587
0,-16.62031362197751,0,1005,10.0572
0,-19.883744139288623,0,1010,0.5293
0,-24.50325185740445,0,1050,1.588
0,-29.215467926407594,0,1115,1.0586
0,-34.037077197200404,0,1125,0.5293
0,-38.21221433342815,0,1130,0.7411
0,-44.56546393780427,0,1140,2.9377
0,-49.513253100210875,0,1150,3.7053
0,-55.55006652132727,0,1200,3.7053
0,-60.26444042872552,0,1205,0.5293
0,-63.19844575398501,0,1210,0.5293
0,-63.5974382262415,0,1215,0.5293
0,-63.305104488642655,0,1220,0.5293
0,-62.383986431783214,0,1225,0.5293
0,-61.00768180916662,0,1230,0.5293
0,-59.53792644574809,0,1235,6.8813
0,-56.149081150706685,0,1240,5.8226
0,-52.488086616823374,0,1245,0.5293
0,-49.54259304198116,0,1250,1.0586
0,-47.2181889326532,0,1255,0.5293
0,-44.70026160647754,0,1300,1.5879
0,-42.80194887988628,0,1305,3.7053
0,-40.62923297887201,0,1315,0.5293
0,-38.1607465100756,0,1325,1.588
0,-35.57354350570637,0,1330,1.0586
0,-32.90306807442212,0,1340,1.0586
0,-29.95002884939089,0,1345,0.5293
0,-26.31861503084616,0,1350,0.5293
0,-21.835911795029602,0,1355,1.588
0,-16.785463600784126,0,1405,1.588
0,-14.024657864334486,0,1435,0.5293
0,-11.986994466910133,0,1510,3.7053
0,-10.26739241806348,0,1515,0.5293
0,-7.37005604202659,0,1535,1.0587
0,-5.155131898359286,0,1540,0.5293
0,-2.766122600449421,0,1545,1.4821
0,-0.32690358172982314,0,1550,0.5293
1,1.9796142835841977,0,1555,2.6466
0,3.2322112007849597,1,1600,1.0587
0,10.267284878774106,0,930,0.6616
0,16.39215321115259,0,935,11.8358
0,22.269758590368525,0,950,1.0587
0,24.428454193339334,0,955,4.2875
0,25.617488953445488,0,1005,2.4613
0,25.3603260748351,0,1025,1.588
0,27.646583960908586,0,1120,0.5293
0,31.322149827613075,0,1130,1.0587
0,33.420403905099036,0,1205,0.5293
0,35.05819699141412,0,1235,2.1173
0,35.34250946372913,0,1250,1.1116
0,36.01268907798769,0,1255,0.5293
0,33.46453483302572,0,1300,8.9986
0,27.77524053558986,0,1305,6.0978
0,22.599628201041646,0,1320,0.5293
0,18.374731686453764,0,1325,2.1173
0,14.755187057453462,0,1330,0.5293
0,12.020453189017836,0,1340,4.7639
0,10.437697866361653,0,1345,6.0873
0,8.525376062204131,0,1400,0.6881
0,6.442564524522204,0,1530,0.5293
0,5.261511787583956,0,1535,6.0237
0,4.927139618456849,0,1550,0.5293
0,4.172103330370852,0,1555,7.9399
0,3.8440625533471504,0,1600,5.2933
0,6.505071987505026,0,935,3.7053
0,9.395979844093212,0,940,10.4807
0,10.380173327365938,0,945,0.5293
0,11.782224596501699,0,955,1.5033
0,9.989601762317768,0,1000,2.2762
0,7.341210277209036,0,1005,12.0687
0,5.107422488513585,0,1010,0.5293
0,4.643401290502979,0,1015,4.763999999999999
0,4.752950979330798,0,1020,13.7626
0,5.181499018784912,0,1025,4.2346
0,4.5103844963417785,0,1030,1.0587
0,2.4087134625682864,0,1050,1.588
0,0.6551355098253779,0,1100,4.0811
0,-1.4810226360205903,0,1105,1.0004
0,-3.498485171126987,0,1115,1.0587
0,-4.821890270786781,0,1130,0.5293
