buy,histogram,sell,time,volume
0,0.15255295772091543,0,1510,34.6596
0,0.1458900878126802,0,1550,34.6596
0,0.1395042480322784,0,1600,34.6596
0,0.1266707742744027,0,930,34.6596
0,0.10669950488230368,0,940,86.6491
0,0.10672368528873388,0,1010,34.6596
0,0.11701990561427264,0,1015,103.979
0,0.10885533113332893,0,1030,34.6596
0,0.10556584176372824,0,1035,34.6596
0,0.09102560225857192,0,1040,34.6596
0,0.08965973752202122,0,1050,34.6596
0,0.0872939961215265,0,1055,34.6596
0,0.08112825853604363,0,1100,34.6596
0,0.06549436789049057,0,1105,34.6596
0,0.05220267570709672,0,1110,34.6596
0,0.03947656744943598,0,1125,34.6596
0,0.025110691612396596,0,1130,34.6596
0,0.022568689693505756,0,1135,51.9895
0,0.004121965837998426,0,1145,34.6596
0,-0.0296021012081783,0,1155,69.3192
0,-0.07160259543629094,0,1205,34.6596
0,-0.10477867299549032,0,1225,34.6596
0,-0.1406806361979724,0,1230,69.3193
0,-0.16885481767779886,0,1235,138.639
0,-0.18951243229478495,0,1240,34.6596
0,-0.20443723035556144,0,1255,34.6596
0,-0.21516516220392112,0,1300,34.6596
0,-0.22935163474905612,0,1305,69.3192
0,-0.23802263297695342,0,1320,69.3192
0,-0.23362336044524906,0,1325,34.6596
0,-0.22835533375992972,0,1330,34.6596
0,-0.2281971273078246,0,1340,34.6596
0,-0.22852410404992302,0,1350,69.3192
0,-0.22658486819846219,0,1405,34.6596
0,-0.22126458129635312,0,1415,34.6596
0,-0.2191086536339027,0,1420,34.6596
0,-0.22851970129468624,0,1425,34.6596
0,-0.2608631616651146,0,1440,69.3192
0,-0.28968357473775463,0,1450,173.298
0,-0.3220257631018518,0,1455,34.6596
0,-0.3488698372647743,0,1500,329.267
0,-0.36822157531089383,0,1510,34.6596
0,-0.3575702893382068,0,1520,69.3193
0,-0.3571304338016018,0,1525,554.554
0,-0.3586948645708081,0,1530,34.6596
0,-0.35703526725579504,0,1535,34.6596
0,-0.35227205791621996,0,1540,34.6596
0,-0.34529933546892333,0,1555,69.3192
0,-0.3394707363456856,0,1600,45.0575
0,-0.33346429364243846,0,930,34.6596
0,-0.33441174566162335,0,935,34.6596
0,-0.37093552309584854,0,945,512.9630000000001
0,-0.407134825295562,0,950,180.923
0,-0.43966960676333944,0,1000,34.6596
0,-0.49078726525008753,0,1005,103.979
0,-0.5306623421951757,0,1010,69.3193
0,-0.5450171671036395,0,1015,41.5916
0,-0.5532310756245753,0,1020,49.2167
0,-0.5258219918869045,0,1030,69.3193
0,-0.500510397086003,0,1035,1039.79
0,-0.45421096682408035,0,1045,485.235
0,-0.41174027893658116,0,1050,173.298
0,-0.3705507422425385,0,1055,173.298
0,-0.3344827894944036,0,1105,34.6596
0,-0.29102004793790726,0,1115,1732.98
0,-0.2574533321246524,0,1140,613.129
0,-0.22529114972392672,0,1225,86.6491
0,-0.20577022206095608,0,1230,1534.04
0,-0.17378142764418358,0,1235,173.298
0,-0.15259380158793623,0,1250,34.6596
0,-0.1170450863435466,0,1315,34.6596
0,-0.05755555319391914,0,1325,346.596
1,0.00970606948196684,0,1330,34.6596
0,0.051811673588288976,0,1335,34.6596
0,0.08749882058520986,0,1340,103.979
0,0.13430906947019272,1,1350,62.0408
0,0.15591014546086135,0,1400,363.926
0,0.18729576454032615,0,1410,277.277
0,0.2100671702929251,0,1445,69.3193
