HOME,Acadia,American Samoa,Arches,Badlands,Big Bend,Biscayne,"Black Canyon
of the Gunnison",Bryce Canyon,Canyonlands,Capitol Reef,Carlsbad Caverns,Channel Islands,Congaree,Crater Lake,Cuyahoga Valley,Death Valley,Denali,Dry Tortugas,Everglades,Gates of the Arctic,Gateway Arch,Glacier,Glacier Bay,Grand Canyon,Grand Teton,Great Basin,Great Sand Dunes,"Great Smoky
Mountains","Guadalupe
Mountains",Haleakala,Hawaii Volcanoes,Hot Springs,Indiana  Dunes,Isle Royale,Joshua Tree,Katmai,Kenai Fjords,Kings Canyon,Kobuk Valley,Lake Clark,Lassen Volcanic,Mammoth Cave,Mesa Verde,Mount Rainier,New River Gorge,North Cascades,Olympic,Petrified Forest,Pinnacles,Redwood,Rocky Mountain,Saguaro,Sequoia,Shenandoah,"Theodore
Roosevelt",Virgin Islands,Voyageurs,White Sands,Wind Cave,"Wrangell-
St. Elias",Yellowstone,Yosemite,Zion
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.16716361111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.667068055555557,39.668372500000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.698628888888888,32.176786111111106,,12.744459722222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.396295555555557,40.04638444444444,,15.186246666666666,19.93932722222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.514700555555557,28.772821111111114,,36.52458333333333,32.04697916666667,27.734266388888887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.19221361111111,39.193732777777775,,3.166294722222222,12.2833225,15.135445833333334,34.8625325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.14954861111111,43.15114583333333,,4.492321111111111,15.476633055555556,17.781947777777777,39.325091111111114,6.645695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.986180555555556,39.98753472222222,,0.661971389,13.077324166666667,15.623308333333334,37.16625,3.482333888888889,4.734264444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.17226777777778,41.17371083333333,,2.515065277777778,14.263458055555557,17.173639444444444,38.50393666666666,4.6684575,2.5289758333333334,2.814460833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.89696166666667,38.54718305555556,,11.255976666666667,16.499191666666665,4.867319444444444,28.108161944444443,10.990179166666666,14.007705,11.755210555555555,13.255246388888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.618943055555558,50.62104166666666,,11.961838055555555,22.597454444444445,18.56128916666667,42.73433166666667,14.115227777777777,9.326859722222222,12.261232777777778,10.684795000000001,15.897414166666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
